Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04 00:00:00+00:00,1049.305176,1713.300049,1739,1705,1739,64897
2010-01-05 00:00:00+00:00,1050.714355,1715.599976,1730,1710,1730,180624
2010-01-06 00:00:00+00:00,1038.618164,1695.849976,1729,1685,1720.050049,323502
2010-01-07 00:00:00+00:00,1012.588989,1653.349976,1708.800049,1633.300049,1708.800049,605949
2010-01-08 00:00:00+00:00,1008.669312,1646.949951,1667.300049,1616,1655,70469
2010-01-11 00:00:00+00:00,1025.695435,1674.75,1688,1653,1653,58770
2010-01-12 00:00:00+00:00,1013.354492,1654.599976,1690,1640,1690,66462
2010-01-13 00:00:00+00:00,1002.667419,1637.150024,1663.800049,1616,1654.599976,94719
2010-01-14 00:00:00+00:00,997.2472534,1628.300049,1647,1617,1630,218669
2010-01-15 00:00:00+00:00,994.0932007,1623.150024,1645,1617,1627.800049,33807
2010-01-18 00:00:00+00:00,1037.913818,1694.699951,1698.5,1601,1624,64287
2010-01-19 00:00:00+00:00,1023.674377,1671.449951,1700,1658.099976,1690.400024,32986
2010-01-20 00:00:00+00:00,1028.022583,1678.550049,1688.099976,1650.050049,1667,29396
2010-01-21 00:00:00+00:00,1008.57782,1646.800049,1692.800049,1641.300049,1675,16046
2010-01-22 00:00:00+00:00,1005.79126,1642.25,1665,1598.199951,1640,54362
2010-01-25 00:00:00+00:00,990.9390259,1618,1652,1611.050049,1642,62941
2010-01-27 00:00:00+00:00,948.8946533,1549.349976,1640.550049,1542.199951,1625,112307
2010-01-28 00:00:00+00:00,941.637146,1537.5,1570,1527,1570,165379
2010-01-29 00:00:00+00:00,954.6209717,1558.699951,1574,1497,1525,33846
2010-02-01 00:00:00+00:00,967.635437,1579.949951,1583.949951,1535,1560,38189
2010-02-02 00:00:00+00:00,960.5922241,1568.449951,1605,1550,1595,44511
2010-02-03 00:00:00+00:00,980.2518311,1600.550049,1631.900024,1575.050049,1580,80257
2010-02-04 00:00:00+00:00,980.5888062,1601.099976,1610,1587.300049,1596,72769
2010-02-05 00:00:00+00:00,971.4324951,1586.150024,1595,1541.199951,1541.199951,98390
2010-02-08 00:00:00+00:00,969.9013672,1583.650024,1617.949951,1570,1588,19902
2010-02-09 00:00:00+00:00,986.008667,1609.949951,1621,1564,1565,34535
2010-02-10 00:00:00+00:00,994.0626221,1623.099976,1628,1592.199951,1619,31521
2010-02-11 00:00:00+00:00,1035.157837,1690.199951,1700,1620.199951,1632,56413
2010-02-15 00:00:00+00:00,1041.373779,1700.349976,1715,1685.599976,1695,35994
2010-02-16 00:00:00+00:00,1039.10791,1696.650024,1710,1678,1709.699951,21883
2010-02-17 00:00:00+00:00,1038.12793,1695.050049,1710.300049,1681.550049,1709,46780
2010-02-18 00:00:00+00:00,1042.047607,1701.449951,1716.400024,1685.150024,1699,32320
2010-02-19 00:00:00+00:00,1028.757568,1679.75,1696,1659,1676,23176
2010-02-22 00:00:00+00:00,1045.110229,1706.449951,1716.900024,1690.300049,1699.099976,24293
2010-02-23 00:00:00+00:00,1035.984497,1691.550049,1714.5,1679,1695,30871
2010-02-24 00:00:00+00:00,1024.22522,1672.349976,1684.800049,1654.050049,1675,17450
2010-02-25 00:00:00+00:00,1033.779907,1687.949951,1703,1641.099976,1699,33579
2010-02-26 00:00:00+00:00,1085.347778,1772.150024,1782,1687,1687,79935
2010-03-02 00:00:00+00:00,1100.720337,1797.25,1807.849976,1780,1780,47450
2010-03-03 00:00:00+00:00,1103.506958,1801.800049,1818.800049,1790,1812.199951,30282
2010-03-04 00:00:00+00:00,1099.280762,1794.900024,1817,1779.199951,1817,23444
2010-03-05 00:00:00+00:00,1136.793457,1856.150024,1869,1794,1794,69693
2010-03-08 00:00:00+00:00,1171.886353,1913.449951,1921,1865,1865,90360
2010-03-09 00:00:00+00:00,1148.154419,1874.699951,1919.800049,1872,1913,60083
2010-03-10 00:00:00+00:00,1181.96106,1929.900024,1940,1882.300049,1898,100932
2010-03-11 00:00:00+00:00,1170.416992,1911.050049,1931,1902.099976,1929.900024,62084
2010-03-12 00:00:00+00:00,1174.948853,1918.449951,1931.199951,1902,1915,63945
2010-03-15 00:00:00+00:00,1170.722778,1911.550049,1930,1907.199951,1918,29978
2010-03-16 00:00:00+00:00,1170.018433,1910.400024,1936,1906.050049,1913.900024,77079
2010-03-17 00:00:00+00:00,1183.706787,1932.75,1943.949951,1915,1915,39358
