Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04 00:00:00+00:00,5932.234863,6134.5,6210.049805,6031.149902,6100,11157
2010-01-05 00:00:00+00:00,5946.158203,6148.899902,6250,6130,6159.950195,9281
2010-01-06 00:00:00+00:00,5883.73584,6084.350098,6194,6050,6189.899902,6508
2010-01-07 00:00:00+00:00,6015.157715,6220.25,6362.200195,6200,6220,26996
2010-01-08 00:00:00+00:00,5955.297852,6158.350098,6288.899902,6140,6274,8600
2010-01-11 00:00:00+00:00,5943.693848,6146.350098,6256,6122,6159,7174
2010-01-12 00:00:00+00:00,5885.817383,6086.5,6194.399902,6070,6160,6257
2010-01-13 00:00:00+00:00,5900.178223,6101.350098,6135,6051.100098,6100,4504
2010-01-14 00:00:00+00:00,6236.267578,6448.899902,6480,6140,6140.100098,49221
2010-01-15 00:00:00+00:00,6195.507324,6406.75,6595,6375,6595,23977
2010-01-18 00:00:00+00:00,6166.933105,6377.200195,6490,6330,6425,13018
2010-01-19 00:00:00+00:00,6079.463379,6286.75,6451,6240,6399,6879
2010-01-20 00:00:00+00:00,5970.625977,6174.200195,6347.850098,6154.049805,6295,5873
2010-01-21 00:00:00+00:00,5909.848145,6111.350098,6240,6085,6190,5312
2010-01-22 00:00:00+00:00,5843.994141,6043.25,6150,6005,6075.850098,8081
2010-01-25 00:00:00+00:00,5843.994141,6043.25,6124,6020.049805,6088,2926
2010-01-27 00:00:00+00:00,5495.331543,5682.700195,6104.899902,5600,6050,9231
2010-01-28 00:00:00+00:00,5570.903809,5760.850098,5909,5691,5788,18311
2010-01-29 00:00:00+00:00,5609.92334,5801.200195,5848,5700,5800,8320
2010-02-01 00:00:00+00:00,5862.606934,6062.5,6125,5755,5800,10917
2010-02-02 00:00:00+00:00,5762.907715,5959.399902,6230,5930,6145,11073
2010-02-03 00:00:00+00:00,5780.072266,5977.149902,6083,5945,6037,4967
2010-02-04 00:00:00+00:00,5618.724609,5810.299805,6065,5781,6014,4016
2010-02-05 00:00:00+00:00,5524.245117,5712.600098,5781,5670,5700,4707
2010-02-08 00:00:00+00:00,5613.841797,5805.25,5848.899902,5701,5751.25,4043
2010-02-09 00:00:00+00:00,5819.236816,6017.649902,6075,5799.950195,5799.950195,14111
2010-02-10 00:00:00+00:00,5704.402344,5898.899902,6075,5858,6068,6425
2010-02-11 00:00:00+00:00,5669.830566,5863.149902,5993,5840,5941,2793
2010-02-15 00:00:00+00:00,5650.973145,5843.649902,5987,5830,5940,2271
2010-02-16 00:00:00+00:00,5601.125488,5792.100098,5890.100098,5751,5851.049805,4813
2010-02-17 00:00:00+00:00,5636.42041,5828.600098,5900,5812,5849,3072
2010-02-18 00:00:00+00:00,5598.898926,5789.799805,5859,5771,5859,1469
2010-02-19 00:00:00+00:00,5557.75293,5747.25,5799.899902,5710,5773,2445
2010-02-22 00:00:00+00:00,5555.529297,5744.950195,5849,5701,5815,4137
2010-02-23 00:00:00+00:00,5507.418457,5695.200195,5774.899902,5683,5724.700195,2227
2010-02-24 00:00:00+00:00,5425.607422,5610.600098,5700,5600.100098,5675,2231
2010-02-25 00:00:00+00:00,5431.770996,5597.950195,5669,5580,5605,2346
2010-02-26 00:00:00+00:00,5492.898926,5660.950195,5799,5590,5622,5790
2010-03-02 00:00:00+00:00,5650.381836,5823.25,5875,5700,5704.299805,4337
2010-03-03 00:00:00+00:00,5674.106934,5847.700195,5933.899902,5831.149902,5850,3156
2010-03-04 00:00:00+00:00,6111.717773,6298.700195,6345,5840,5900,37541
2010-03-05 00:00:00+00:00,5930.657715,6112.100098,6344,6083.049805,6310,17763
2010-03-08 00:00:00+00:00,6055.632324,6240.899902,6285,6000,6000,13007
2010-03-09 00:00:00+00:00,6119.578613,6306.799805,6420,6161,6161,22235
2010-03-10 00:00:00+00:00,6103.03418,6289.75,6400,6251.149902,6300,9631
2010-03-11 00:00:00+00:00,6137.528809,6325.299805,6350,6260,6300,7613
2010-03-12 00:00:00+00:00,6181.385254,6370.5,6444.799805,6300,6347.649902,11755
2010-03-15 00:00:00+00:00,6081.055664,6267.100098,6375,6220,6340,5513
2010-03-16 00:00:00+00:00,6314.125488,6507.299805,6549,6276.649902,6294,31714
2010-03-17 00:00:00+00:00,6175.660156,6364.600098,6531,6337,6440,11342
2010-03-18 00:00:00+00:00,6893.887695,7104.799805,7228,5485,6365,105861
2010-03-19 00:00:00+00:00,6820.531738,7029.200195,7129,6840,7050,58987
2010-03-22 00:00:00+00:00,6977.916992,7191.399902,7299,6813,6975,58138
2010-03-23 00:00:00+00:00,6942.549805,7154.950195,7324,7100.049805,7100.049805,24901
2010-03-25 00:00:00+00:00,6881.127441,7091.649902,7225,7030.100098,7155,12589
2010-03-26 00:00:00+00:00,6746.254395,6952.649902,7189,6900,7189,7685
2010-03-29 00:00:00+00:00,6673.674316,6877.850098,7050,6851.25,6973,6898
2010-03-30 00:00:00+00:00,6597.893066,6799.75,6974.899902,6780.299805,6924,5186
2010-03-31 00:00:00+00:00,6612.449219,6814.75,6899.950195,6770,6848,5196
2010-04-01 00:00:00+00:00,6702.444824,6907.5,6979,6760,6760,8246
2010-04-05 00:00:00+00:00,6743.439941,6949.75,7085,6860,6860,10451
2010-04-06 00:00:00+00:00,6686.09668,6890.649902,7013,6866,7000,3613
2010-04-07 00:00:00+00:00,6997.953613,7212.049805,7250,6875,6875,38781
2010-04-08 00:00:00+00:00,6857.064453,7066.850098,7275,7036,7210,14214
2010-04-09 00:00:00+00:00,6860.944824,7070.850098,7199,7050,7099,8645
2010-04-12 00:00:00+00:00,6836.395996,7045.549805,7150,7011.700195,7101,3878
2010-04-13 00:00:00+00:00,6978.5,7192,7365,7032,7058,22915
2010-04-15 00:00:00+00:00,6873.948242,7084.25,7270,7065,7268,7888
2010-04-16 00:00:00+00:00,6818.688965,7027.299805,7175,6976.299805,7064.700195,7497
2010-04-19 00:00:00+00:00,6815.824707,7024.350098,7105,6890,6984,11648
2010-04-20 00:00:00+00:00,6840.520996,7049.799805,7169.950195,6950,6950,9016
2010-04-21 00:00:00+00:00,6846.00293,7055.450195,7181.5,7035,7078,7443
2010-04-22 00:00:00+00:00,6831.25293,7040.25,7150,7021,7068,4808
2010-04-23 00:00:00+00:00,6807.724609,7016,7109.950195,7005,7060,4418
2010-04-26 00:00:00+00:00,6925.228027,7137.100098,7238.75,7021,7050,13807
2010-04-27 00:00:00+00:00,6979.082031,7192.600098,7275.5,7122,7130,15586
2010-04-28 00:00:00+00:00,6845.51709,7054.950195,7190.5,7031,7160,6825
2010-04-29 00:00:00+00:00,6845.03125,7054.450195,7270,7000.200195,7094.399902,28059
2010-04-30 00:00:00+00:00,6880.544434,7091.049805,7170,7055,7145,5669
