Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04 00:00:00+00:00,291.7624207,331,336,328,336,131
2010-01-05 00:00:00+00:00,279.4220581,317,335,315.0499878,315.0499878,464
2010-01-06 00:00:00+00:00,274.9707031,311.9500122,322.2999878,311.6499939,319.1499939,717
2010-01-07 00:00:00+00:00,271.6652832,308.2000122,324,308,314.1499939,204
2010-01-08 00:00:00+00:00,277.7472839,315.1000061,320,301,301,1788
2010-01-11 00:00:00+00:00,265.3187561,301,316.8999939,301,307,675
2010-01-12 00:00:00+00:00,268.3157043,304.3999939,310,300.1000061,304.5,271
2010-01-13 00:00:00+00:00,267.6986389,303.7000122,306,295.7000122,305,347
2010-01-14 00:00:00+00:00,266.3764954,302.2000122,306,302,306,176
2010-01-15 00:00:00+00:00,265.0102234,300.6499939,303,300,300,385
2010-01-18 00:00:00+00:00,270.6074524,307,307,302,302,201
2010-01-19 00:00:00+00:00,264.4373169,300,308.8999939,292,292,632
2010-01-20 00:00:00+00:00,257.3856812,292,314,290,302.0499878,1001
2010-01-21 00:00:00+00:00,252.5376434,286.5,296.8999939,285,293.9500122,1724
2010-01-22 00:00:00+00:00,263.5557861,299,300.7999878,280,280,239
2010-01-25 00:00:00+00:00,252.1849976,286.1000061,298.8999939,286,286.0499878,523
2010-01-27 00:00:00+00:00,252.1409149,286.0499878,298,286,286,691
2010-01-28 00:00:00+00:00,247.0284576,280.25,300,273,273,390
2010-01-29 00:00:00+00:00,242.0923157,274.6499939,284,266.25,267,746
2010-02-01 00:00:00+00:00,254.1683044,288.3500061,288.3500061,276.75,288,5761
2010-02-02 00:00:00+00:00,266.8612366,302.75,302.75,290,290,37708
2010-02-03 00:00:00+00:00,276.6895447,313.8999939,316.3999939,300,314.8999939,9764
2010-02-04 00:00:00+00:00,271.1363831,307.6000061,317,306.25,316.9500122,7293
2010-02-05 00:00:00+00:00,260.2944031,295.2999878,308,294,294.0499878,2268
2010-02-08 00:00:00+00:00,250.2898865,283.9500122,309.75,281,309.75,27262
2010-02-09 00:00:00+00:00,225.9616547,256.3500061,272,255,271,3042
2010-02-10 00:00:00+00:00,220.1440125,249.75,258,248,258,1614
2010-02-11 00:00:00+00:00,216.838562,246,247.5,241,247,1579
2010-02-15 00:00:00+00:00,211.7261047,240.1999969,255,235.6000061,255,405
