Date,Adj Close,Close,High,Low,Open,Volume
2013-01-01 00:00:00+00:00,1931.916748,2022.800049,2030,1990.699951,1995,49967
2013-01-02 00:00:00+00:00,1943.807373,2035.25,2043.400024,2027,2032.25,67886
2013-01-03 00:00:00+00:00,1933.874634,2024.849976,2056,2016.300049,2040,66389
2013-01-04 00:00:00+00:00,1950.158569,2041.900024,2049,2002,2019,55076
2013-01-07 00:00:00+00:00,1949.012451,2040.699951,2046.5,2016,2045.25,47458
2013-01-08 00:00:00+00:00,1928.430664,2019.150024,2043,2010,2043,52801
2013-01-09 00:00:00+00:00,1874.182739,1962.349976,2021,1945.349976,2005.099976,150457
2013-01-10 00:00:00+00:00,1813.822144,1899.150024,1992.300049,1890,1971.400024,683216
2013-01-11 00:00:00+00:00,1798.684326,1883.300049,1901.050049,1860,1901.050049,134174
2013-01-14 00:00:00+00:00,1782.305054,1866.150024,1885,1846.199951,1885,187086
2013-01-15 00:00:00+00:00,1834.260742,1920.550049,1935,1845.550049,1866.150024,195235
2013-01-16 00:00:00+00:00,1834.403931,1920.699951,1929.949951,1900.050049,1921,387028
2013-01-17 00:00:00+00:00,1824.518799,1910.349976,1928.400024,1890.199951,1925.050049,115719
2013-01-18 00:00:00+00:00,1823.516235,1909.300049,1924.800049,1881.050049,1915.25,217897
2013-01-21 00:00:00+00:00,1844.670898,1931.449951,1942,1865.25,1898,218770
2013-01-22 00:00:00+00:00,1865.204956,1952.949951,1959,1910.25,1928.699951,130052
2013-01-23 00:00:00+00:00,1866.828735,1954.650024,1989.5,1950,1965,168341
2013-01-24 00:00:00+00:00,1862.244263,1949.849976,1974.5,1937.400024,1956,163392
2013-01-25 00:00:00+00:00,1830.536133,1916.650024,1954.949951,1900.099976,1954.949951,106549
2013-01-28 00:00:00+00:00,1801.788574,1886.550049,1960,1878.849976,1960,224252
2013-01-29 00:00:00+00:00,1773.661621,1857.099976,1916,1850.300049,1886.550049,222058
2013-01-30 00:00:00+00:00,1799.687378,1884.349976,1890.650024,1860.449951,1865.199951,214238
2013-01-31 00:00:00+00:00,1817.069824,1902.550049,1914.800049,1870,1884.5,154726
2013-02-01 00:00:00+00:00,1755.180786,1837.75,1927,1712.349976,1918,290743
2013-02-04 00:00:00+00:00,1812.102905,1897.349976,1913.449951,1875,1888.699951,220610
2013-02-05 00:00:00+00:00,1838.892944,1925.400024,1932.900024,1875.099976,1880,144330
2013-02-06 00:00:00+00:00,1874.469238,1962.650024,1980,1911,1926,229127
2013-02-07 00:00:00+00:00,1834.977173,1921.300049,1975,1908.150024,1962.650024,211928
2013-02-08 00:00:00+00:00,1799.782715,1884.449951,1943.550049,1866.449951,1924,116674
2013-02-11 00:00:00+00:00,1826.763184,1912.699951,1924.849976,1860.099976,1879,92944
2013-02-12 00:00:00+00:00,1833.974243,1920.25,1929.650024,1893.449951,1918,71204
2013-02-13 00:00:00+00:00,1855.988892,1943.300049,1949,1905,1923,135113
2013-02-14 00:00:00+00:00,1865.443726,1953.199951,1967,1928.099976,1928.099976,164604
2013-02-15 00:00:00+00:00,1843.286255,1930,1952,1910.099976,1941,84250
