Date,Adj Close,Close,High,Low,Open,Volume
2013-01-04 00:00:00+00:00,2666.030273,3035,3060,3010,3050,1690900
2013-01-07 00:00:00+00:00,2586.970703,2945,3045,2937,3025,2292300
2013-01-08 00:00:00+00:00,2518.453369,2867,2939,2863,2930,2037400
2013-01-09 00:00:00+00:00,2534.265625,2885,2907,2808,2819,2658800
2013-01-10 00:00:00+00:00,2634.406006,2999,3020,2930,2932,2567900
2013-01-11 00:00:00+00:00,2731.911865,3110,3125,3035,3035,3453100
2013-01-15 00:00:00+00:00,2863.675537,3260,3310,3215,3215,3715500
2013-01-16 00:00:00+00:00,2797.793457,3185,3260,3170,3260,2357200
2013-01-17 00:00:00+00:00,2775.833496,3160,3210,3080,3195,2475300
2013-01-18 00:00:00+00:00,2911.989258,3315,3330,3250,3300,3189900
2013-01-21 00:00:00+00:00,2832.931152,3225,3325,3220,3315,1970100
2013-01-22 00:00:00+00:00,2824.146973,3215,3275,3165,3225,2178900
2013-01-23 00:00:00+00:00,2793.401611,3180,3230,3150,3160,1916000
2013-01-24 00:00:00+00:00,2872.460449,3270,3280,3180,3185,2494600
2013-01-25 00:00:00+00:00,2925.166016,3330,3350,3290,3340,2139900
2013-01-28 00:00:00+00:00,2907.597412,3310,3360,3290,3350,2078500
2013-01-29 00:00:00+00:00,2929.558105,3335,3360,3285,3300,2441600
2013-01-30 00:00:00+00:00,2999.832764,3415,3415,3305,3320,1865900
2013-01-31 00:00:00+00:00,3065.7146,3490,3500,3400,3415,1779800
2013-02-01 00:00:00+00:00,3140.381592,3575,3595,3500,3505,1864800
2013-02-04 00:00:00+00:00,3175.517822,3615,3630,3570,3620,1556500
2013-02-05 00:00:00+00:00,3100.852295,3530,3565,3500,3540,1419000
2013-02-06 00:00:00+00:00,3342.419189,3805,3825,3650,3670,2712300
2013-02-07 00:00:00+00:00,3254.57666,3705,3780,3670,3760,2496000
2013-02-08 00:00:00+00:00,3157.949219,3595,3680,3585,3605,2988200
2013-02-12 00:00:00+00:00,3254.57666,3705,3770,3690,3730,2128200
2013-02-13 00:00:00+00:00,3056.930176,3480,3565,3400,3495,3988400
2013-02-14 00:00:00+00:00,3034.969482,3455,3495,3410,3460,2652000
2013-02-15 00:00:00+00:00,3008.616455,3425,3445,3365,3425,1616800
2013-02-18 00:00:00+00:00,3065.7146,3490,3510,3465,3490,1542100
2013-02-19 00:00:00+00:00,3078.890869,3505,3550,3445,3445,1802700
2013-02-20 00:00:00+00:00,3065.7146,3490,3555,3480,3550,1388600
2013-02-21 00:00:00+00:00,2977.872559,3390,3470,3380,3455,1836000
2013-02-22 00:00:00+00:00,3087.675537,3515,3525,3305,3330,2895700
2013-02-25 00:00:00+00:00,3122.812744,3555,3595,3535,3595,1464400
2013-02-26 00:00:00+00:00,3013.008301,3430,3490,3415,3415,1585400
2013-02-27 00:00:00+00:00,2960.303223,3370,3435,3355,3420,1329800
2013-02-28 00:00:00+00:00,3017.400879,3435,3460,3400,3455,1888000
2013-03-01 00:00:00+00:00,3092.067383,3520,3550,3395,3395,1428300
2013-03-04 00:00:00+00:00,3052.537598,3475,3580,3455,3525,1368800
2013-03-05 00:00:00+00:00,3056.930176,3480,3535,3465,3475,1372300
2013-03-06 00:00:00+00:00,3087.675537,3515,3525,3480,3525,973300
2013-03-07 00:00:00+00:00,3127.204834,3560,3620,3545,3570,2058000
2013-03-08 00:00:00+00:00,3298.497803,3755,3790,3595,3600,6325200
2013-03-11 00:00:00+00:00,3346.812012,3810,3890,3780,3825,2786900
2013-03-12 00:00:00+00:00,3355.595703,3820,3865,3805,3860,2107200
2013-03-13 00:00:00+00:00,3324.851074,3785,3835,3770,3785,1118900
2013-03-14 00:00:00+00:00,3461.00708,3940,3945,3800,3830,1830800
2013-03-15 00:00:00+00:00,3601.555664,4100,4140,3985,3995,3689500
2013-03-18 00:00:00+00:00,3491.752197,3975,4085,3970,3985,1867900
2013-03-19 00:00:00+00:00,3579.595215,4075,4100,4045,4050,1558500
2013-03-21 00:00:00+00:00,3447.830566,3925,4050,3925,4040,2961000
2013-03-22 00:00:00+00:00,3333.634277,3795,3895,3780,3880,2605500
2013-03-25 00:00:00+00:00,3294.105713,3750,3830,3745,3775,2672400
2013-03-26 00:00:00+00:00,3289.713867,3745,3780,3685,3715,1598800
2013-03-27 00:00:00+00:00,3274.70874,3710,3730,3680,3725,1813400
2013-03-28 00:00:00+00:00,3252.641113,3685,3775,3670,3735,1917900
2013-03-29 00:00:00+00:00,3257.054443,3690,3705,3650,3690,1501200
2013-04-01 00:00:00+00:00,3204.094727,3630,3765,3550,3590,3370800
2013-04-02 00:00:00+00:00,3102.587158,3515,3580,3490,3570,2419500
2013-04-03 00:00:00+00:00,3142.307861,3560,3560,3490,3545,1892100
2013-04-04 00:00:00+00:00,3217.334961,3645,3650,3465,3490,2512000
2013-04-05 00:00:00+00:00,3327.668457,3770,3895,3760,3845,4333900
2013-04-08 00:00:00+00:00,3468.895752,3930,3945,3870,3930,2344200
2013-04-09 00:00:00+00:00,3504.202393,3970,4015,3940,4000,2283000
2013-04-10 00:00:00+00:00,3526.27002,3995,4005,3955,3980,2152500
2013-04-11 00:00:00+00:00,3508.616211,3975,4020,3915,4000,2443000
2013-04-12 00:00:00+00:00,3407.108154,3860,3990,3825,3990,3260900
2013-04-15 00:00:00+00:00,3380.628662,3830,3905,3810,3830,1949800
2013-04-16 00:00:00+00:00,3420.349365,3875,3900,3750,3770,2003900
2013-04-17 00:00:00+00:00,3429.175781,3885,3905,3850,3900,1740200
2013-04-18 00:00:00+00:00,3385.041992,3835,3870,3780,3835,1890200
2013-04-19 00:00:00+00:00,3385.041992,3835,3865,3775,3830,1410100
2013-04-22 00:00:00+00:00,3455.655762,3915,3940,3865,3905,1653800
2013-04-23 00:00:00+00:00,3398.282471,3850,3925,3825,3895,1256400
2013-04-24 00:00:00+00:00,3473.309082,3935,3935,3895,3920,1090600
2013-04-25 00:00:00+00:00,3495.375977,3960,3985,3945,3970,1301200
2013-04-26 00:00:00+00:00,3455.655762,3915,3985,3910,3985,1409400
2013-04-30 00:00:00+00:00,3451.241943,3910,3940,3850,3915,1017400
2013-05-01 00:00:00+00:00,3389.455566,3840,3920,3835,3910,919500
2013-05-02 00:00:00+00:00,3318.841797,3760,3805,3730,3780,1699800
2013-05-07 00:00:00+00:00,3499.789551,3965,3975,3890,3940,1876900
2013-05-08 00:00:00+00:00,3526.27002,3995,4025,3940,3995,2242200
2013-05-09 00:00:00+00:00,3738.110596,4235,4300,4095,4110,3742800
2013-05-10 00:00:00+00:00,3883.751953,4400,4440,4355,4425,2626700
2013-05-13 00:00:00+00:00,3879.337891,4395,4475,4380,4460,1445000
2013-05-14 00:00:00+00:00,3821.965332,4330,4410,4310,4400,1232600
2013-05-15 00:00:00+00:00,3892.577148,4410,4450,4400,4400,1658800
2013-05-16 00:00:00+00:00,3927.88501,4450,4450,4400,4430,1752200
2013-05-17 00:00:00+00:00,3976.432373,4505,4510,4350,4400,1597400
2013-05-20 00:00:00+00:00,4130.899902,4680,4720,4545,4580,1526100
2013-05-21 00:00:00+00:00,4351.566895,4930,4940,4705,4705,2412600
2013-05-22 00:00:00+00:00,4448.660645,5040,5140,4975,4995,2787500
2013-05-23 00:00:00+00:00,4095.592041,4640,5190,4620,5000,4128500
2013-05-24 00:00:00+00:00,4148.552734,4700,4920,4495,4800,3056800
2013-05-27 00:00:00+00:00,3923.471191,4445,4585,4430,4490,1747400
2013-05-28 00:00:00+00:00,3985.258545,4515,4530,4345,4380,1426700
2013-05-29 00:00:00+00:00,3954.365234,4480,4640,4470,4620,1788300
2013-05-30 00:00:00+00:00,3821.965332,4330,4510,4285,4410,2412300
2013-05-31 00:00:00+00:00,3972.018799,4500,4545,4385,4400,2600400
2013-06-03 00:00:00+00:00,3941.125,4465,4585,4400,4430,2511400
2013-06-04 00:00:00+00:00,3945.538086,4470,4490,4240,4385,2310900
2013-06-05 00:00:00+00:00,3813.137207,4320,4570,4315,4500,1776800
2013-06-06 00:00:00+00:00,3724.87085,4220,4370,4180,4280,1676000
2013-06-07 00:00:00+00:00,3627.776855,4110,4265,4080,4150,2561100
2013-06-10 00:00:00+00:00,3826.376953,4335,4365,4220,4260,2532400
2013-06-11 00:00:00+00:00,3980.845459,4510,4560,4395,4405,2707400
2013-06-12 00:00:00+00:00,3945.538086,4470,4490,4365,4440,1552700
2013-06-13 00:00:00+00:00,3716.043945,4210,4380,4170,4360,2729200
2013-06-14 00:00:00+00:00,3835.204834,4345,4415,4255,4255,3675200
2013-06-17 00:00:00+00:00,3839.616699,4350,4355,4165,4205,1832300
2013-06-18 00:00:00+00:00,3857.27124,4370,4425,4340,4350,1468200
2013-06-19 00:00:00+00:00,3760.176514,4260,4420,4205,4410,2543000
2013-06-20 00:00:00+00:00,3777.830566,4280,4335,4200,4210,2586600
2013-06-21 00:00:00+00:00,3760.176514,4260,4310,4080,4115,4019500
2013-06-24 00:00:00+00:00,3513.029297,3980,4300,3955,4265,4502400
2013-06-25 00:00:00+00:00,3380.628662,3830,3935,3735,3850,6136200
2013-06-26 00:00:00+00:00,3345.322021,3790,3955,3775,3935,2392100
2013-06-27 00:00:00+00:00,3438.002441,3895,3905,3850,3860,2860300
2013-06-28 00:00:00+00:00,3539.509521,4010,4025,3925,3925,2534500
2013-07-01 00:00:00+00:00,3702.803955,4195,4195,4040,4075,2603200
2013-07-02 00:00:00+00:00,3821.965332,4330,4350,4235,4260,2255400
2013-07-03 00:00:00+00:00,3799.898682,4305,4410,4260,4410,1859500
2013-07-04 00:00:00+00:00,3773.417236,4275,4330,4220,4265,1172300
2013-07-05 00:00:00+00:00,3817.550781,4325,4365,4305,4335,1355800
2013-07-08 00:00:00+00:00,3791.071289,4295,4450,4295,4405,1822900
2013-07-09 00:00:00+00:00,3901.404785,4420,4420,4320,4355,1911400
2013-07-10 00:00:00+00:00,3896.991211,4415,4475,4370,4435,1578400
2013-07-11 00:00:00+00:00,3972.018799,4500,4515,4380,4400,1675200
2013-07-12 00:00:00+00:00,4082.352295,4625,4640,4490,4505,2267900
2013-07-16 00:00:00+00:00,4135.312988,4685,4715,4655,4670,2794300
2013-07-17 00:00:00+00:00,4100.004883,4645,4655,4605,4645,1741000
2013-07-18 00:00:00+00:00,4152.96582,4705,4715,4660,4685,5429600
2013-07-19 00:00:00+00:00,4042.631592,4580,4720,4465,4715,2294200
2013-07-22 00:00:00+00:00,3949.951172,4475,4620,4380,4605,3074600
2013-07-23 00:00:00+00:00,3989.671875,4520,4540,4380,4410,1640100
2013-07-24 00:00:00+00:00,3888.164551,4405,4470,4390,4470,1470500
2013-07-25 00:00:00+00:00,3879.337891,4395,4445,4380,4425,1613800
