Date,Adj Close,Close,High,Low,Open,Volume
2013-01-04 00:00:00+00:00,421.5052185,530,530,521,524,42164000
2013-01-07 00:00:00+00:00,418.3240356,526,540,523,540,36064000
2013-01-08 00:00:00+00:00,414.3475037,521,525,518,522,30543000
2013-01-09 00:00:00+00:00,429.4580078,540,543,517,518,48310000
2013-01-10 00:00:00+00:00,427.8675232,538,544,537,543,25891000
2013-01-11 00:00:00+00:00,428.6628113,539,545,537,543,32072000
2013-01-15 00:00:00+00:00,432.6393127,544,545,540,542,23472000
2013-01-16 00:00:00+00:00,419.9146118,528,538,527,537,30937000
2013-01-17 00:00:00+00:00,419.9146118,528,538,520,536,34347000
2013-01-18 00:00:00+00:00,437.4109802,550,551,541,542,48630000
2013-01-21 00:00:00+00:00,430.2533875,541,551,539,550,28746000
2013-01-22 00:00:00+00:00,429.4580078,540,547,534,542,30082000
2013-01-23 00:00:00+00:00,416.7333374,524,535,522,533,28356000
2013-01-24 00:00:00+00:00,423.0957336,532,537,516,518,28932000
2013-01-25 00:00:00+00:00,446.1592102,561,561,542,545,54978000
2013-01-28 00:00:00+00:00,439.0015259,552,564,552,563,35859000
2013-01-29 00:00:00+00:00,435.0250244,547,556,546,548,35280000
2013-01-30 00:00:00+00:00,434.2298889,546,549,540,548,41332000
2013-01-31 00:00:00+00:00,431.0486755,542,547,537,542,42859000
2013-02-01 00:00:00+00:00,433.4346008,545,551,544,548,30802000
2013-02-04 00:00:00+00:00,450.9309998,567,568,551,553,42549000
2013-02-05 00:00:00+00:00,422.3004456,531,538,528,530,88856000
2013-02-06 00:00:00+00:00,427.8675232,538,546,532,540,73466000
2013-02-07 00:00:00+00:00,427.0723267,537,541,531,536,52158000
2013-02-08 00:00:00+00:00,417.5286865,525,534,523,531,42685000
2013-02-12 00:00:00+00:00,421.5052185,530,535,525,529,38224000
2013-02-13 00:00:00+00:00,417.5286865,525,530,521,529,31188000
2013-02-14 00:00:00+00:00,415.9380798,523,527,511,522,41616000
2013-02-15 00:00:00+00:00,411.1662903,517,521,505,517,40846000
2013-02-18 00:00:00+00:00,412.7569885,519,527,517,525,27024000
2013-02-19 00:00:00+00:00,408.7804565,514,518,512,515,19703000
2013-02-20 00:00:00+00:00,416.7333374,524,525,515,515,25808000
2013-02-21 00:00:00+00:00,415.1428223,522,523,518,520,23517000
2013-02-22 00:00:00+00:00,411.9616394,518,519,508,515,25799000
2013-02-25 00:00:00+00:00,421.5052185,530,533,525,526,28354000
2013-02-26 00:00:00+00:00,411.1662903,517,523,516,517,31075000
2013-02-27 00:00:00+00:00,404.8039551,509,517,507,515,47546000
2013-02-28 00:00:00+00:00,413.5522461,520,520,514,515,33868000
2013-03-01 00:00:00+00:00,414.3475037,521,525,518,519,23940000
2013-03-04 00:00:00+00:00,407.1898804,512,524,512,523,31522000
2013-03-05 00:00:00+00:00,410.3710022,516,521,514,516,26697000
2013-03-06 00:00:00+00:00,426.2769775,536,537,523,524,48005000
2013-03-07 00:00:00+00:00,427.8675232,538,547,537,542,36000000
2013-03-08 00:00:00+00:00,431.8439941,543,551,541,545,51978000
2013-03-11 00:00:00+00:00,442.1828003,556,562,550,551,36599000
2013-03-12 00:00:00+00:00,439.0015259,552,562,550,559,25580000
2013-03-13 00:00:00+00:00,436.6157227,549,554,546,550,19078000
2013-03-14 00:00:00+00:00,437.4109802,550,551,541,547,28032000
2013-03-15 00:00:00+00:00,446.1592102,561,562,555,560,45556000
2013-03-18 00:00:00+00:00,431.0486755,542,554,541,553,27351000
2013-03-19 00:00:00+00:00,440.5921326,554,555,544,544,27593000
2013-03-21 00:00:00+00:00,451.7262573,568,578,559,560,52220000
2013-03-22 00:00:00+00:00,446.1592102,561,569,560,569,27980000
2013-03-25 00:00:00+00:00,449.3404541,565,570,564,566,16963000
2013-03-26 00:00:00+00:00,442.1828003,556,561,553,555,26670000
2013-03-27 00:00:00+00:00,442.1827698,551,557,550,553,15441000
2013-03-28 00:00:00+00:00,438.1702881,546,556,541,553,24285000
2013-03-29 00:00:00+00:00,435.7627258,543,548,540,546,13327000
2013-04-01 00:00:00+00:00,424.5276184,529,545,528,544,16807000
2013-04-02 00:00:00+00:00,420.5149231,524,528,521,524,27377000
2013-04-03 00:00:00+00:00,425.3301086,530,531,523,527,20891000
2013-04-04 00:00:00+00:00,426.1325989,531,533,508,517,41504000
2013-04-05 00:00:00+00:00,438.9726563,547,565,545,559,46101000
2013-04-08 00:00:00+00:00,449.405426,560,567,555,563,31387000
2013-04-09 00:00:00+00:00,456.6279602,569,572,560,568,44471000
2013-04-10 00:00:00+00:00,469.4681396,585,591,567,570,50983000
2013-04-11 00:00:00+00:00,503.9759827,628,629,600,600,74313000
2013-04-12 00:00:00+00:00,507.1860352,632,647,626,629,41558000
2013-04-15 00:00:00+00:00,491.1358948,612,629,607,628,33702000
2013-04-16 00:00:00+00:00,479.098175,597,606,587,592,41889000
2013-04-17 00:00:00+00:00,487.9258728,608,610,601,606,27553000
2013-04-18 00:00:00+00:00,477.4930725,595,609,595,602,24052000
2013-04-19 00:00:00+00:00,483.1109009,602,604,589,592,26714000
2013-04-22 00:00:00+00:00,491.9384766,613,622,611,620,21645000
2013-04-23 00:00:00+00:00,497.5559998,620,628,612,615,29463000
2013-04-24 00:00:00+00:00,498.358429,621,627,617,625,18488000
2013-04-25 00:00:00+00:00,502.3708801,626,629,620,623,21896000
2013-04-26 00:00:00+00:00,499.1608887,622,633,620,632,24157000
2013-04-30 00:00:00+00:00,499.1608887,622,624,611,615,26031000
2013-05-01 00:00:00+00:00,489.5308533,610,624,608,624,15478000
2013-05-02 00:00:00+00:00,489.5308533,610,621,605,605,19013000
2013-05-07 00:00:00+00:00,510.3960266,636,638,624,629,33006000
2013-05-08 00:00:00+00:00,513.6060791,640,654,634,636,41242000
2013-05-09 00:00:00+00:00,503.9759827,628,648,628,647,23329000
2013-05-10 00:00:00+00:00,517.6184692,645,653,641,646,32978000
2013-05-13 00:00:00+00:00,557.7442627,695,703,669,670,55755000
2013-05-14 00:00:00+00:00,577.8067627,720,728,702,703,54235000
2013-05-15 00:00:00+00:00,593.0545654,739,775,734,745,52906000
2013-05-16 00:00:00+00:00,595.4621582,742,758,721,752,33750000
2013-05-17 00:00:00+00:00,614.72229,766,767,735,742,45354000
2013-05-20 00:00:00+00:00,630.7723999,786,801,780,787,49421000
2013-05-21 00:00:00+00:00,615.5248413,767,789,765,779,37145000
2013-05-22 00:00:00+00:00,616.3273315,768,778,767,777,20003000
2013-05-23 00:00:00+00:00,571.3868408,712,786,710,773,57431000
2013-05-24 00:00:00+00:00,577.8067627,720,747,689,737,42522000
2013-05-27 00:00:00+00:00,544.9040527,679,703,677,691,31251000
2013-05-28 00:00:00+00:00,559.3490601,697,702,668,669,34775000
2013-05-29 00:00:00+00:00,563.3616333,702,724,701,724,26113000
2013-05-30 00:00:00+00:00,548.916626,684,695,674,688,31207000
2013-05-31 00:00:00+00:00,561.7567749,700,704,679,693,40424000
2013-06-03 00:00:00+00:00,531.2613525,662,688,657,684,30153000
2013-06-04 00:00:00+00:00,541.6939697,675,677,631,651,40664000
2013-06-05 00:00:00+00:00,525.6436768,655,697,654,684,35653000
2013-06-06 00:00:00+00:00,520.026123,648,673,638,639,35652000
2013-06-07 00:00:00+00:00,507.1860352,632,649,611,633,39372000
2013-06-10 00:00:00+00:00,537.6815186,670,672,653,662,19927000
2013-06-11 00:00:00+00:00,528.0512695,658,674,651,672,21867000
2013-06-12 00:00:00+00:00,533.6690063,665,672,643,649,24277000
2013-06-13 00:00:00+00:00,506.3835754,631,653,629,648,27833000
2013-06-14 00:00:00+00:00,516.0137939,643,658,635,650,36815000
2013-06-17 00:00:00+00:00,517.6184692,645,646,627,630,23162000
2013-06-18 00:00:00+00:00,532.0639038,663,665,650,652,24416000
2013-06-19 00:00:00+00:00,526.446228,656,673,648,670,35784000
2013-06-20 00:00:00+00:00,514.4086304,641,656,640,648,26556000
2013-06-21 00:00:00+00:00,518.4211426,646,646,613,622,27064000
2013-06-24 00:00:00+00:00,502.3708801,626,650,622,650,21506000
2013-06-25 00:00:00+00:00,501.5684204,625,635,616,617,36368000
2013-06-26 00:00:00+00:00,495.1483765,617,640,616,631,26579000
2013-06-27 00:00:00+00:00,498.358429,621,627,608,625,32932000
2013-06-28 00:00:00+00:00,511.1987305,637,647,630,633,30280000
2013-07-01 00:00:00+00:00,512.0010986,638,644,630,643,27143000
2013-07-02 00:00:00+00:00,540.8915405,674,674,649,654,40989000
2013-07-03 00:00:00+00:00,540.8915405,674,684,668,683,19394000
2013-07-04 00:00:00+00:00,528.8537598,659,672,658,670,19130000
2013-07-05 00:00:00+00:00,552.1266479,688,689,674,676,41558000
2013-07-08 00:00:00+00:00,540.8915405,674,699,672,698,31615000
2013-07-09 00:00:00+00:00,541.6939697,675,685,668,685,27677000
2013-07-10 00:00:00+00:00,532.866394,664,675,658,672,23581000
2013-07-11 00:00:00+00:00,521.6311646,650,654,640,646,46383000
2013-07-12 00:00:00+00:00,528.8537598,659,664,650,650,26681000
2013-07-16 00:00:00+00:00,534.4713745,666,668,659,667,33309000
2013-07-17 00:00:00+00:00,543.2989502,677,681,663,666,32535000
2013-07-18 00:00:00+00:00,546.5089722,681,683,673,678,123819000
2013-07-19 00:00:00+00:00,540.8915405,674,693,670,692,38820000
2013-07-22 00:00:00+00:00,544.9040527,679,682,672,682,14449000
2013-07-23 00:00:00+00:00,554.5341187,691,694,673,674,26948000
2013-07-24 00:00:00+00:00,548.1139526,683,688,680,685,16262000
2013-07-25 00:00:00+00:00,548.1139526,683,693,678,686,22051000
2013-07-26 00:00:00+00:00,526.446228,656,670,651,669,28279000
2013-07-29 00:00:00+00:00,508.7910156,634,646,632,636,23493000
2013-07-30 00:00:00+00:00,513.6060791,640,643,626,632,24578000
2013-07-31 00:00:00+00:00,528.0512695,658,679,658,673,51697000
2013-08-01 00:00:00+00:00,535.2738647,667,673,655,656,23048000
2013-08-02 00:00:00+00:00,538.4838867,671,678,661,677,26468000
2013-08-05 00:00:00+00:00,529.65625,660,664,653,660,19679000
2013-08-06 00:00:00+00:00,529.65625,660,661,647,655,20354000
2013-08-07 00:00:00+00:00,514.4086304,641,652,641,647,23362000
2013-08-08 00:00:00+00:00,505.5810547,630,640,627,632,29738000
2013-08-09 00:00:00+00:00,506.3835754,631,638,627,636,18131000
2013-08-12 00:00:00+00:00,503.1734314,627,631,622,630,14395000
2013-08-13 00:00:00+00:00,507.1860352,632,636,625,630,16494000
2013-08-14 00:00:00+00:00,509.5935364,635,641,629,641,21449000
2013-08-15 00:00:00+00:00,500.7659607,624,638,622,631,23858000
2013-08-16 00:00:00+00:00,498.358429,621,625,616,617,18647000
2013-08-19 00:00:00+00:00,503.1734314,627,627,617,623,14504000
2013-08-20 00:00:00+00:00,497.5559998,620,628,619,620,20889000
2013-08-21 00:00:00+00:00,490.3333435,611,621,608,618,19958000
2013-08-22 00:00:00+00:00,481.5056458,600,607,594,607,23766000
2013-08-23 00:00:00+00:00,495.9508362,618,625,610,612,23284000
2013-08-26 00:00:00+00:00,495.1483765,617,627,614,616,15385000
2013-08-27 00:00:00+00:00,491.1358948,612,619,609,610,11916000
2013-08-28 00:00:00+00:00,481.5056458,600,603,589,592,20923000
2013-08-29 00:00:00+00:00,480.7032166,599,602,594,597,13746000
2013-08-30 00:00:00+00:00,475.8882446,593,606,592,604,19249000
2013-09-02 00:00:00+00:00,475.8882446,593,596,590,594,11840000
2013-09-03 00:00:00+00:00,487.1233521,607,610,600,602,16490000
2013-09-04 00:00:00+00:00,483.913269,603,605,599,600,18789000
2013-09-05 00:00:00+00:00,484.7159119,604,612,601,608,29272000
2013-09-06 00:00:00+00:00,473.4807434,590,602,587,600,44448000
2013-09-09 00:00:00+00:00,486.3207397,606,608,602,608,22972000
2013-09-10 00:00:00+00:00,499.9634094,623,625,610,610,23687000
2013-09-11 00:00:00+00:00,506.3835754,631,639,629,632,23293000
2013-09-12 00:00:00+00:00,506.3835754,631,635,627,634,12128000
2013-09-13 00:00:00+00:00,507.9885254,633,638,627,632,20766000
2013-09-17 00:00:00+00:00,513.6060791,640,649,640,640,17498000
2013-09-18 00:00:00+00:00,521.6311646,650,652,643,644,19107000
2013-09-19 00:00:00+00:00,531.2613525,662,663,651,656,19663000
2013-09-20 00:00:00+00:00,532.0639038,663,667,658,665,14950000
2013-09-24 00:00:00+00:00,527.2487183,657,662,645,657,16476000
2013-09-25 00:00:00+00:00,526.446228,656,661,649,653,10857000
2013-09-26 00:00:00+00:00,545.8543091,675,675,654,655,28013000
2013-09-27 00:00:00+00:00,537.7677002,665,672,661,670,16854000
2013-09-30 00:00:00+00:00,523.2115479,647,657,644,655,17192000
2013-10-01 00:00:00+00:00,519.9769287,643,651,642,649,21962000
2013-10-02 00:00:00+00:00,510.2728882,631,652,630,642,24659000
2013-10-03 00:00:00+00:00,515.1248779,637,645,634,636,20328000
2013-10-04 00:00:00+00:00,507.8467407,628,635,620,623,19521000
2013-10-07 00:00:00+00:00,505.4207764,625,631,623,627,16193000
2013-10-08 00:00:00+00:00,505.4207764,625,629,621,623,17352000
2013-10-09 00:00:00+00:00,509.4641724,630,631,612,620,19069000
2013-10-10 00:00:00+00:00,502.9947815,622,625,618,623,25931000
2013-10-11 00:00:00+00:00,503.8033752,623,628,618,627,42167000
2013-10-15 00:00:00+00:00,505.4207764,625,631,624,628,19224000
2013-10-16 00:00:00+00:00,500.5687561,619,624,618,621,15025000
2013-10-17 00:00:00+00:00,502.1860657,621,628,617,626,15350000
2013-10-18 00:00:00+00:00,500.5687561,619,624,616,621,20054000
2013-10-21 00:00:00+00:00,501.3773499,620,624,617,619,15226000
2013-10-22 00:00:00+00:00,500.5687561,619,620,615,619,19782000
2013-10-23 00:00:00+00:00,491.6733093,608,621,606,619,23849000
2013-10-24 00:00:00+00:00,532.9156494,659,662,637,638,121072000
2013-10-25 00:00:00+00:00,525.6375732,650,667,649,659,60917000
2013-10-28 00:00:00+00:00,544.2371216,673,679,663,670,51318000
2013-10-29 00:00:00+00:00,541.0023804,669,678,663,665,32000000
2013-10-30 00:00:00+00:00,541.8110352,670,672,660,661,28832000
2013-10-31 00:00:00+00:00,553.9411621,685,696,667,669,73192000
