Date,Adj Close,Close,High,Low,Open,Volume
2013-01-04 00:00:00+00:00,6005.666504,6265,6445,6237.5,6312.5,1195200
2013-01-07 00:00:00+00:00,5773.205078,6022.5,6300,6005,6300,532000
2013-01-08 00:00:00+00:00,5804.360352,6055,6142.5,6000,6025,578800
2013-01-09 00:00:00+00:00,5770.809082,6020,6055,5877.5,5932.5,645600
2013-01-10 00:00:00+00:00,5840.307129,6092.5,6145,6067.5,6087.5,475600
2013-01-11 00:00:00+00:00,5852.290527,6105,6197.5,6097.5,6197.5,344000
2013-01-15 00:00:00+00:00,5955.34082,6212.5,6212.5,6127.5,6187.5,638000
2013-01-16 00:00:00+00:00,5888.238281,6142.5,6220,6135,6205,396000
2013-01-17 00:00:00+00:00,5926.581055,6182.5,6212.5,6072.5,6212.5,526800
2013-01-18 00:00:00+00:00,5933.770996,6190,6300,6180,6250,576400
2013-01-21 00:00:00+00:00,5876.255371,6130,6207.5,6107.5,6195,515200
2013-01-22 00:00:00+00:00,5845.100586,6097.5,6135,6030,6125,512400
2013-01-23 00:00:00+00:00,5881.048828,6135,6180,6002.5,6015,441200
2013-01-24 00:00:00+00:00,5869.067383,6122.5,6132.5,6040,6072.5,296800
2013-01-25 00:00:00+00:00,6012.856445,6272.5,6305,6217.5,6277.5,659600
2013-01-28 00:00:00+00:00,5969.720215,6227.5,6270,6147.5,6270,642400
2013-01-29 00:00:00+00:00,5993.685059,6252.5,6285,6150,6225,509200
2013-01-30 00:00:00+00:00,6147.061523,6412.5,6430,6252.5,6312.5,663600
2013-01-31 00:00:00+00:00,6079.959473,6342.5,6405,6302.5,6325,556000
2013-02-01 00:00:00+00:00,6091.942871,6355,6422.5,6325,6345,376000
2013-02-04 00:00:00+00:00,6271.680664,6542.5,6587.5,6390,6450,709600
2013-02-05 00:00:00+00:00,6190.19873,6457.5,6550,6450,6502.5,635200
2013-02-06 00:00:00+00:00,6202.180176,6470,6550,6445,6525,698800
2013-02-07 00:00:00+00:00,6269.28418,6540,6555,6447.5,6462.5,647200
2013-02-08 00:00:00+00:00,6202.180176,6470,6552.5,6465,6545,487600
2013-02-12 00:00:00+00:00,6218.958008,6487.5,6585,6487.5,6550,443200
2013-02-13 00:00:00+00:00,6194.992188,6462.5,6550,6437.5,6462.5,378800
2013-02-14 00:00:00+00:00,6221.354492,6490,6552.5,6470,6507.5,464400
2013-02-15 00:00:00+00:00,6278.871094,6550,6740,6490,6497.5,834400
2013-02-18 00:00:00+00:00,6290.853516,6562.5,6625,6537.5,6625,481600
2013-02-19 00:00:00+00:00,6254.903809,6525,6577.5,6480,6525,599200
2013-02-20 00:00:00+00:00,6314.817871,6587.5,6620,6547.5,6615,475600
2013-02-21 00:00:00+00:00,6223.750488,6492.5,6585,6470,6585,410800
2013-02-22 00:00:00+00:00,6211.768555,6480,6517.5,6400,6425,490400
2013-02-25 00:00:00+00:00,6242.921875,6512.5,6592.5,6470,6532.5,430800
2013-02-26 00:00:00+00:00,6171.026367,6437.5,6495,6407.5,6455,520400
