Date,Adj Close,Close,High,Low,Open,Volume
2013-01-04 00:00:00+00:00,320.2531738,484,485,474,477,119113900
2013-01-07 00:00:00+00:00,314.9597473,476,488,475,487,86678900
2013-01-08 00:00:00+00:00,305.696167,462,471,457,469,117835800
2013-01-09 00:00:00+00:00,310.3280334,469,472,449,451,122409400
2013-01-10 00:00:00+00:00,313.6363525,474,484,472,474,158715200
2013-01-11 00:00:00+00:00,316.9447021,479,485,476,482,102374600
2013-01-15 00:00:00+00:00,319.5915527,483,488,481,487,83801000
2013-01-16 00:00:00+00:00,310.3280334,469,482,466,479,111780600
2013-01-17 00:00:00+00:00,311.6512756,471,474,461,473,109902600
2013-01-18 00:00:00+00:00,320.2531738,484,485,477,484,117878500
2013-01-21 00:00:00+00:00,312.9747314,473,482,473,481,83255200
2013-01-22 00:00:00+00:00,312.3130493,472,483,468,473,115728400
2013-01-23 00:00:00+00:00,307.0195618,464,473,464,467,93744700
2013-01-24 00:00:00+00:00,312.9747314,473,474,460,461,79325200
2013-01-25 00:00:00+00:00,316.9447021,479,482,477,478,73610300
2013-01-28 00:00:00+00:00,316.9447021,479,484,479,482,81374400
2013-01-29 00:00:00+00:00,328.855011,497,500,479,480,182475800
2013-01-30 00:00:00+00:00,332.8250732,503,504,494,500,110381100
2013-01-31 00:00:00+00:00,344.7353516,521,526,506,509,173028100
2013-02-01 00:00:00+00:00,340.7652283,515,529,513,526,126624700
2013-02-04 00:00:00+00:00,350.6905212,530,533,513,516,140089700
2013-02-05 00:00:00+00:00,344.0736694,520,535,516,519,116561100
2013-02-06 00:00:00+00:00,352.6755066,533,537,531,535,123344000
2013-02-07 00:00:00+00:00,355.9837952,538,547,530,532,156267200
2013-02-08 00:00:00+00:00,351.3521423,531,538,526,538,104492800
2013-02-12 00:00:00+00:00,359.2922668,543,548,539,541,114762700
2013-02-13 00:00:00+00:00,352.6755066,533,546,530,544,100468200
2013-02-14 00:00:00+00:00,346.0586243,523,537,518,531,104934400
2013-02-15 00:00:00+00:00,336.1335144,508,516,499,515,137981100
2013-02-18 00:00:00+00:00,352.6755066,533,537,516,517,125959700
2013-02-19 00:00:00+00:00,353.3371887,534,535,528,529,75299200
2013-02-20 00:00:00+00:00,352.6755066,533,540,529,539,100807800
2013-02-21 00:00:00+00:00,344.0736694,520,529,516,526,93902000
2013-02-22 00:00:00+00:00,339.441864,513,515,502,508,158834300
2013-02-25 00:00:00+00:00,348.7054138,527,527,521,525,97212600
2013-02-26 00:00:00+00:00,343.4120789,519,528,513,513,94799300
2013-02-27 00:00:00+00:00,334.1484375,505,522,505,521,85415000
2013-02-28 00:00:00+00:00,339.441864,513,518,512,513,78912500
2013-03-01 00:00:00+00:00,346.0586243,523,525,509,513,90604600
2013-03-04 00:00:00+00:00,351.3521423,531,535,527,528,102580900
2013-03-05 00:00:00+00:00,348.7054138,527,540,526,536,108292400
2013-03-06 00:00:00+00:00,353.9987793,535,538,531,537,76687000
2013-03-07 00:00:00+00:00,348.7054138,527,539,526,539,95130300
2013-03-08 00:00:00+00:00,353.9987793,535,539,529,529,156104400
2013-03-11 00:00:00+00:00,376.4960022,569,569,541,543,223726200
2013-03-12 00:00:00+00:00,374.5109863,566,592,564,586,163336700
2013-03-13 00:00:00+00:00,380.4660339,575,581,566,567,120543200
2013-03-14 00:00:00+00:00,383.7744446,580,583,569,581,97816100
2013-03-15 00:00:00+00:00,381.1277466,576,585,576,583,96581100
2013-03-18 00:00:00+00:00,369.2174377,558,571,555,565,115502300
2013-03-19 00:00:00+00:00,375.8342896,568,571,561,568,68073900
2013-03-21 00:00:00+00:00,381.7894287,577,580,573,578,82497200
2013-03-22 00:00:00+00:00,372.5258789,563,574,563,571,71749000
2013-03-25 00:00:00+00:00,378.4809265,572,576,568,572,73854000
2013-03-26 00:00:00+00:00,371.8641357,562,571,562,566,81876000
2013-03-27 00:00:00+00:00,377.8944092,564,569,561,567,48808100
2013-03-28 00:00:00+00:00,377.8944092,564,565,549,564,86124800
2013-03-29 00:00:00+00:00,373.8742676,558,563,554,562,69981900
2013-04-01 00:00:00+00:00,356.4537048,532,558,531,558,84817900
2013-04-02 00:00:00+00:00,364.4938965,544,549,515,519,139130000
2013-04-03 00:00:00+00:00,367.1740723,548,549,534,545,75868700
2013-04-04 00:00:00+00:00,387.2748108,578,579,536,542,156353700
2013-04-05 00:00:00+00:00,406.7055054,607,644,601,640,333044000
2013-04-08 00:00:00+00:00,428.8164368,640,640,622,630,202072600
2013-04-09 00:00:00+00:00,418.0959778,624,649,622,640,168003500
2013-04-10 00:00:00+00:00,438.8668823,655,660,621,621,450743808
2013-04-11 00:00:00+00:00,450.2572632,672,673,655,663,196504000
2013-04-12 00:00:00+00:00,450.9272461,673,679,662,668,139515100
2013-04-15 00:00:00+00:00,444.2269897,663,672,655,668,112630000
2013-04-16 00:00:00+00:00,428.1463928,639,650,635,637,197684700
2013-04-17 00:00:00+00:00,439.5367737,656,664,646,649,144331600
2013-04-18 00:00:00+00:00,436.1867065,651,673,646,649,172756600
2013-04-19 00:00:00+00:00,430.8263855,643,659,640,658,119831200
2013-04-22 00:00:00+00:00,437.5267944,653,665,653,658,92078000
2013-04-23 00:00:00+00:00,430.8263855,643,652,641,650,70252000
2013-04-24 00:00:00+00:00,432.8365479,646,652,640,651,71744600
2013-04-25 00:00:00+00:00,442.2169189,660,662,646,650,138482900
2013-04-26 00:00:00+00:00,442.2169189,660,666,654,665,91769700
2013-04-30 00:00:00+00:00,444.2269897,663,667,661,662,83863000
2013-05-01 00:00:00+00:00,438.1967773,654,662,653,660,56833700
2013-05-02 00:00:00+00:00,437.5267944,653,658,650,650,55380900
