Date,Adj Close,Close,High,Low,Open,Volume
2013-01-04 00:00:00+00:00,420.9930725,667.5,677,664.5,675,22778200
2013-01-07 00:00:00+00:00,421.9391479,669,676.5,666.5,676.5,18473800
2013-01-08 00:00:00+00:00,420.9930725,667.5,671.5,664.5,669.5,17686000
2013-01-09 00:00:00+00:00,426.3540649,676,681.5,664.5,665,23048800
2013-01-10 00:00:00+00:00,432.0303345,685,688.5,678,678,17322800
2013-01-11 00:00:00+00:00,430.7689209,683,697,681,692,22784200
2013-01-15 00:00:00+00:00,430.4536133,682.5,691.5,680.5,685.5,18670800
2013-01-16 00:00:00+00:00,420.6776123,667,681.5,663,681.5,21725600
2013-01-17 00:00:00+00:00,415.9474487,659.5,668,648,667.5,30435600
2013-01-18 00:00:00+00:00,422.5698242,670,677,669.5,672.5,21217200
2013-01-21 00:00:00+00:00,420.9930725,667.5,675.5,664.5,675,13843400
2013-01-22 00:00:00+00:00,421.6237488,668.5,675,661,670.5,18281000
2013-01-23 00:00:00+00:00,416.2628174,660,664,656,660.5,15473000
2013-01-24 00:00:00+00:00,416.5780334,660.5,662.5,652.5,655,15979400
2013-01-25 00:00:00+00:00,430.4536133,682.5,686.5,674.5,675,25021800
2013-01-28 00:00:00+00:00,418.7854919,664,687.5,664,686.5,41114400
2013-01-29 00:00:00+00:00,425.0926819,674,678.5,659,663.5,20837600
2013-01-30 00:00:00+00:00,430.7689209,683,685,675,680,21915400
2013-01-31 00:00:00+00:00,435.499176,690.5,691.5,681,685,20198800
2013-02-01 00:00:00+00:00,433.2916565,687,694,683.5,694,17374200
2013-02-04 00:00:00+00:00,438.0219727,694.5,696,685.5,692.5,22322200
2013-02-05 00:00:00+00:00,428.5614929,679.5,689.5,677.5,685,17514000
2013-02-06 00:00:00+00:00,440.5446472,698.5,702,688,692.5,27543000
2013-02-07 00:00:00+00:00,443.3829651,703,705,696.5,699.5,20129000
2013-02-08 00:00:00+00:00,438.0219727,694.5,705,691.5,703,18921200
2013-02-12 00:00:00+00:00,444.6443176,705,714.5,705,706.5,18731400
2013-02-13 00:00:00+00:00,440.8601379,699,711.5,694.5,706,25821000
2013-02-14 00:00:00+00:00,437.3912354,693.5,701,685,699.5,23522000
2013-02-15 00:00:00+00:00,432.3456116,685.5,694.5,675.5,690,18632600
2013-02-18 00:00:00+00:00,438.9679871,696,699.5,688.5,692.5,13831600
2013-02-19 00:00:00+00:00,441.4908752,700,703.5,695,695.5,15692400
2013-02-20 00:00:00+00:00,445.5904541,706.5,710,704.5,705,15359600
2013-02-21 00:00:00+00:00,438.0219727,694.5,702,689,701,21544800
2013-02-22 00:00:00+00:00,432.3456116,685.5,697,678,688.5,26647600
2013-02-25 00:00:00+00:00,442.121582,701,704,697,700.5,17674800
2013-02-26 00:00:00+00:00,438.0219727,694.5,699,687.5,689,17379600
2013-02-27 00:00:00+00:00,430.4536133,682.5,697,681,696,16635200
2013-02-28 00:00:00+00:00,433.2916565,687,691,683.5,689.5,15727600
2013-03-01 00:00:00+00:00,433.9224854,688,691,683,690.5,13411600
2013-03-04 00:00:00+00:00,426.6693726,676.5,694,673,694,20969600
2013-03-05 00:00:00+00:00,425.4079895,674.5,681.5,671.5,677,20517600
2013-03-06 00:00:00+00:00,429.5074768,681,683,675,681.5,17954200
2013-03-07 00:00:00+00:00,431.7149048,684.5,688.5,682,687,14662400
2013-03-08 00:00:00+00:00,433.6071472,687.5,692.5,685.5,691.5,31444600
2013-03-11 00:00:00+00:00,447.4825745,709.5,710,693,694.5,30679600
2013-03-12 00:00:00+00:00,447.797821,710,731.5,704,719.5,29082400
2013-03-13 00:00:00+00:00,446.2210388,707.5,716.5,704,712,18295400
2013-03-14 00:00:00+00:00,439.9141541,697.5,709.5,689,707.5,30742600
2013-03-15 00:00:00+00:00,443.067627,702.5,702.5,691,699,31289600
2013-03-18 00:00:00+00:00,437.0760193,693,695.5,688,695.5,19655600
2013-03-19 00:00:00+00:00,440.5446472,698.5,704.5,693,699,14485000
2013-03-21 00:00:00+00:00,439.2833557,696.5,705.5,696.5,703.5,19659800
2013-03-22 00:00:00+00:00,435.1837463,690,701.5,689,696.5,26759400
2013-03-25 00:00:00+00:00,437.706665,694,699.5,690,695,20641400
2013-03-26 00:00:00+00:00,435.8146362,691,696,690.5,693.5,16924000
2013-03-27 00:00:00+00:00,435.4942932,680,687,675,685.5,18187600
2013-03-28 00:00:00+00:00,422.0452576,659,670.5,655,670,28235600
2013-03-29 00:00:00+00:00,420.4442139,656.5,661.5,649.5,658.5,18395400
2013-04-01 00:00:00+00:00,413.3994141,645.5,657,644,657,17294200
2013-04-02 00:00:00+00:00,402.8322144,629,639.5,622.5,633.5,29457400
2013-04-03 00:00:00+00:00,397.3885498,620.5,632.5,611.5,632.5,32318000
2013-04-04 00:00:00+00:00,400.2704468,625,625,602.5,609.5,40348400
2013-04-05 00:00:00+00:00,390.9842834,610.5,646.5,605.5,640,65691600
2013-04-08 00:00:00+00:00,400.5907898,625.5,626.5,613.5,625.5,37312200
2013-04-09 00:00:00+00:00,411.4781799,642.5,653,634.5,637,45574800
2013-04-10 00:00:00+00:00,427.8091431,668,676.5,654,655.5,51087400
2013-04-11 00:00:00+00:00,444.7805786,694.5,695.5,673,682.5,50021400
2013-04-12 00:00:00+00:00,451.1848755,704.5,706,693.5,700,46852800
2013-04-15 00:00:00+00:00,437.7358398,683.5,696,675.5,695.5,27947400
2013-04-16 00:00:00+00:00,422.0452576,659,667.5,653,655,39341800
2013-04-17 00:00:00+00:00,424.2867126,662.5,666.5,657.5,665.5,17690400
2013-04-18 00:00:00+00:00,421.0845337,657.5,662.5,654.5,661,22118000
2013-04-19 00:00:00+00:00,419.483429,655,660.5,648,659,23375800
2013-04-22 00:00:00+00:00,421.7250366,658.5,667.5,658,664.5,19508800
2013-04-23 00:00:00+00:00,419.8037415,655.5,658.5,653,658,16925400
2013-04-24 00:00:00+00:00,427.8091431,668,668,657.5,662.5,21053400
2013-04-25 00:00:00+00:00,437.0954285,682.5,684,671,674,22536400
2013-04-26 00:00:00+00:00,431.6517639,674,683.5,670.5,680.5,22294400
2013-04-30 00:00:00+00:00,428.449585,669,680,667.5,679.5,21745000
2013-05-01 00:00:00+00:00,421.4047546,658,669.5,656,668.5,20191000
2013-05-02 00:00:00+00:00,422.0452576,659,661,655.5,658,14151600
