Date,Adj Close,Close,High,Low,Open,Volume
2013-01-04 00:00:00+00:00,1021.192749,1630,1630,1600,1620,27276090
2013-01-07 00:00:00+00:00,1014.927673,1620,1650,1620,1650,21945330
2013-01-08 00:00:00+00:00,1008.662415,1610,1620,1590,1610,25170380
2013-01-09 00:00:00+00:00,1021.192749,1630,1640,1580,1580,21531920
2013-01-10 00:00:00+00:00,1046.252319,1670,1700,1630,1640,42545240
2013-01-11 00:00:00+00:00,1058.782471,1690,1710,1680,1700,25223960
2013-01-15 00:00:00+00:00,1058.782471,1690,1720,1690,1710,20202830
2013-01-16 00:00:00+00:00,1033.722778,1650,1700,1640,1690,27319840
2013-01-17 00:00:00+00:00,1046.252319,1670,1680,1640,1670,21783850
2013-01-18 00:00:00+00:00,1083.842285,1730,1730,1690,1710,31951140
2013-01-21 00:00:00+00:00,1065.047607,1700,1740,1700,1730,16992990
2013-01-22 00:00:00+00:00,1058.782471,1690,1720,1680,1700,30539990
2013-01-23 00:00:00+00:00,1046.252319,1670,1700,1660,1670,18112020
2013-01-24 00:00:00+00:00,1052.517578,1680,1690,1660,1660,13755440
2013-01-25 00:00:00+00:00,1071.312866,1710,1720,1690,1700,14833440
2013-01-28 00:00:00+00:00,1065.047607,1700,1730,1700,1720,13453460
2013-01-29 00:00:00+00:00,1096.372437,1750,1760,1690,1690,37714090
2013-01-30 00:00:00+00:00,1115.167358,1780,1780,1740,1760,23494790
2013-01-31 00:00:00+00:00,1146.492188,1830,1850,1790,1800,32450010
2013-02-01 00:00:00+00:00,1152.757324,1840,1860,1810,1860,33379650
2013-02-04 00:00:00+00:00,1209.142334,1930,1940,1850,1860,45748240
2013-02-05 00:00:00+00:00,1202.877197,1920,1990,1890,1900,55123650
2013-02-06 00:00:00+00:00,1265.5271,2020,2030,1990,2000,44141990
2013-02-07 00:00:00+00:00,1309.38208,2090,2090,2000,2010,65955190
2013-02-08 00:00:00+00:00,1296.851929,2070,2110,2050,2080,61448076
2013-02-12 00:00:00+00:00,1359.502075,2170,2190,2130,2140,48763880
2013-02-13 00:00:00+00:00,1328.177246,2120,2190,2110,2180,44159530
2013-02-14 00:00:00+00:00,1303.117065,2080,2140,2050,2120,55838120
2013-02-15 00:00:00+00:00,1227.937012,1960,2040,1890,2010,93541570
2013-02-18 00:00:00+00:00,1278.056885,2040,2060,2000,2010,48785820
