Date,Adj Close,Close,High,Low,Open,Volume
2013-01-04 00:00:00+00:00,823.366272,1080,1082,1070,1080,7016000
2013-01-07 00:00:00+00:00,803.5445557,1054,1096,1052,1096,6455000
2013-01-08 00:00:00+00:00,806.5939941,1058,1070,1052,1056,5993500
2013-01-09 00:00:00+00:00,803.5445557,1054,1066,1050,1050,5683500
2013-01-10 00:00:00+00:00,820.3165894,1076,1082,1068,1068,5297000
2013-01-11 00:00:00+00:00,830.9898682,1090,1102,1086,1094,12506500
2013-01-15 00:00:00+00:00,840.1384277,1102,1116,1096,1116,6673500
2013-01-16 00:00:00+00:00,821.8414917,1078,1102,1076,1100,6651500
2013-01-17 00:00:00+00:00,826.4156494,1084,1096,1062,1094,7341000
2013-01-18 00:00:00+00:00,858.4353638,1126,1132,1108,1110,12214000
2013-01-21 00:00:00+00:00,837.0889893,1098,1126,1098,1120,6602000
2013-01-22 00:00:00+00:00,830.9898682,1090,1114,1082,1102,9063500
2013-01-23 00:00:00+00:00,808.1187134,1060,1086,1060,1082,7851500
2013-01-24 00:00:00+00:00,812.6928101,1066,1076,1056,1058,10749500
2013-01-25 00:00:00+00:00,858.4353638,1126,1126,1094,1108,11801000
2013-01-28 00:00:00+00:00,835.5639648,1096,1128,1096,1126,8746500
2013-01-29 00:00:00+00:00,832.5147705,1092,1120,1088,1090,14837500
2013-01-30 00:00:00+00:00,864.5343018,1134,1136,1100,1110,9893500
2013-01-31 00:00:00+00:00,852.3364868,1118,1134,1104,1120,9642500
2013-02-01 00:00:00+00:00,847.7622681,1112,1126,1108,1124,7041500
2013-02-04 00:00:00+00:00,840.1384277,1102,1118,1100,1118,6638000
2013-02-05 00:00:00+00:00,830.9898682,1090,1104,1086,1088,6255000
2013-02-06 00:00:00+00:00,863.0093994,1132,1134,1110,1122,9417000
2013-02-07 00:00:00+00:00,852.3364868,1118,1128,1108,1116,7623500
2013-02-08 00:00:00+00:00,835.5639648,1096,1106,1092,1094,10710500
2013-02-12 00:00:00+00:00,855.3858643,1122,1136,1116,1126,7276000
2013-02-13 00:00:00+00:00,849.2868652,1114,1134,1108,1124,5532000
2013-02-14 00:00:00+00:00,850.8115845,1116,1124,1108,1120,5358000
2013-02-15 00:00:00+00:00,846.2374268,1110,1124,1100,1118,8616000
2013-02-18 00:00:00+00:00,859.9599609,1128,1132,1120,1122,6747500
2013-02-19 00:00:00+00:00,844.7125244,1108,1126,1108,1116,5556500
2013-02-20 00:00:00+00:00,875.2075195,1148,1158,1120,1126,13313000
2013-02-21 00:00:00+00:00,863.0093994,1132,1158,1128,1148,7638000
2013-02-22 00:00:00+00:00,870.6333008,1142,1144,1120,1126,6517000
2013-02-25 00:00:00+00:00,890.4553833,1168,1168,1156,1160,7516000
2013-02-26 00:00:00+00:00,864.5343018,1134,1152,1132,1142,8786500
2013-02-27 00:00:00+00:00,850.8115845,1116,1142,1116,1140,5842000
2013-02-28 00:00:00+00:00,869.1088867,1140,1140,1126,1138,8483500
2013-03-01 00:00:00+00:00,866.059082,1136,1144,1122,1122,4779000
2013-03-04 00:00:00+00:00,863.0093994,1132,1148,1132,1144,5848000
2013-03-05 00:00:00+00:00,847.7622681,1112,1136,1110,1132,9472500
2013-03-06 00:00:00+00:00,861.4848633,1130,1132,1106,1126,9992500
2013-03-07 00:00:00+00:00,872.1583252,1144,1170,1138,1158,15466000
2013-03-08 00:00:00+00:00,878.2574463,1152,1158,1138,1150,37946500
2013-03-11 00:00:00+00:00,890.4553833,1168,1174,1154,1162,11475000
2013-03-12 00:00:00+00:00,895.029541,1174,1190,1166,1170,10815000
2013-03-13 00:00:00+00:00,904.1781006,1186,1192,1166,1168,9310000
2013-03-14 00:00:00+00:00,934.6730957,1226,1228,1184,1194,13309000
2013-03-15 00:00:00+00:00,980.4154053,1286,1286,1230,1230,17572000
2013-03-18 00:00:00+00:00,952.9701538,1250,1282,1246,1278,10490000
2013-03-19 00:00:00+00:00,972.7918091,1276,1276,1262,1264,5951000
2013-03-21 00:00:00+00:00,978.8908691,1284,1304,1280,1280,11924000
2013-03-22 00:00:00+00:00,957.5444336,1256,1282,1256,1280,11295000
2013-03-25 00:00:00+00:00,971.2671509,1274,1286,1266,1274,8915500
2013-03-26 00:00:00+00:00,971.2671509,1274,1286,1264,1270,7578500
2013-03-27 00:00:00+00:00,962.0463867,1252,1278,1252,1270,6582000
2013-03-28 00:00:00+00:00,954.3622437,1242,1264,1236,1252,9606500
2013-03-29 00:00:00+00:00,960.5095825,1250,1254,1238,1248,4941000
2013-04-01 00:00:00+00:00,920.5523071,1198,1232,1196,1230,10443500
2013-04-02 00:00:00+00:00,902.1104126,1174,1192,1154,1188,9614000
2013-04-03 00:00:00+00:00,905.184021,1178,1184,1158,1166,8816500
2013-04-04 00:00:00+00:00,937.4571533,1220,1222,1148,1148,12656000
2013-04-05 00:00:00+00:00,945.1412964,1230,1278,1226,1270,14887500
2013-04-08 00:00:00+00:00,969.7303467,1262,1276,1250,1266,10134500
2013-04-09 00:00:00+00:00,965.1196289,1256,1280,1250,1272,9011500
2013-04-10 00:00:00+00:00,954.3622437,1242,1260,1238,1246,10526500
2013-04-11 00:00:00+00:00,992.7824707,1292,1294,1254,1260,17111000
2013-04-12 00:00:00+00:00,988.171936,1286,1308,1270,1306,14627500
2013-04-15 00:00:00+00:00,965.1196289,1256,1286,1256,1284,8289000
2013-04-16 00:00:00+00:00,978.9511719,1274,1288,1228,1236,14371500
2013-04-17 00:00:00+00:00,992.7824707,1292,1296,1268,1272,7903500
2013-04-18 00:00:00+00:00,991.2456055,1290,1306,1276,1280,11410000
2013-04-19 00:00:00+00:00,1000.466675,1302,1308,1282,1300,9515500
2013-04-22 00:00:00+00:00,1014.298035,1320,1334,1316,1320,7503000
2013-04-23 00:00:00+00:00,1026.592651,1336,1348,1318,1320,8737000
2013-04-24 00:00:00+00:00,1054.255249,1372,1378,1356,1362,9347500
2013-04-25 00:00:00+00:00,1025.055664,1334,1382,1328,1380,11971000
2013-04-26 00:00:00+00:00,1021.981628,1330,1362,1324,1362,13002000
2013-04-30 00:00:00+00:00,1008.150879,1312,1336,1310,1330,8619000
2013-05-01 00:00:00+00:00,1006.61377,1310,1316,1296,1308,5405500
2013-05-02 00:00:00+00:00,986.6352539,1284,1302,1282,1284,6959500
2013-05-07 00:00:00+00:00,1029.666138,1340,1346,1328,1330,8919000
2013-05-08 00:00:00+00:00,1029.666138,1340,1346,1330,1340,7916500
2013-05-09 00:00:00+00:00,1009.687439,1314,1342,1312,1330,4966000
2013-05-10 00:00:00+00:00,1028.129395,1338,1354,1332,1352,8346500
2013-05-13 00:00:00+00:00,1040.423706,1354,1358,1348,1356,5415000
2013-05-14 00:00:00+00:00,1034.276489,1346,1358,1342,1358,5400500
2013-05-15 00:00:00+00:00,1072.696655,1396,1402,1358,1362,12873500
2013-05-16 00:00:00+00:00,1072.696655,1396,1432,1390,1416,9066500
2013-05-17 00:00:00+00:00,1092.675537,1422,1428,1394,1396,7072500
2013-05-20 00:00:00+00:00,1103.432983,1436,1444,1424,1436,6837500
2013-05-21 00:00:00+00:00,1114.191162,1450,1460,1430,1430,6099500
2013-05-22 00:00:00+00:00,1108.043945,1442,1462,1432,1458,6603500
2013-05-23 00:00:00+00:00,1018.908264,1326,1454,1324,1444,17122000
2013-05-24 00:00:00+00:00,1032.739868,1344,1388,1292,1346,13719000
2013-05-27 00:00:00+00:00,994.3192749,1294,1324,1294,1300,8156000
2013-05-28 00:00:00+00:00,1002.003174,1304,1322,1254,1274,9809500
2013-05-29 00:00:00+00:00,1002.003174,1304,1346,1296,1340,9659500
2013-05-30 00:00:00+00:00,966.6567993,1258,1300,1250,1270,11525500
2013-05-31 00:00:00+00:00,994.3192749,1294,1308,1272,1296,12061000
2013-06-03 00:00:00+00:00,966.6567993,1258,1290,1254,1288,8122500
2013-06-04 00:00:00+00:00,978.9511719,1274,1282,1242,1260,9687000
2013-06-05 00:00:00+00:00,962.0463867,1252,1290,1248,1286,10879500
2013-06-06 00:00:00+00:00,952.8251343,1240,1272,1220,1234,9505500
2013-06-07 00:00:00+00:00,952.8251343,1240,1264,1212,1234,13146500
2013-06-10 00:00:00+00:00,991.2456055,1290,1292,1256,1280,7159500
2013-06-11 00:00:00+00:00,988.171936,1286,1302,1262,1278,7536500
2013-06-12 00:00:00+00:00,985.0983887,1282,1292,1258,1266,6094000
2013-06-13 00:00:00+00:00,914.4049072,1190,1248,1184,1246,9959000
2013-06-14 00:00:00+00:00,942.067749,1226,1256,1224,1248,17421000
2013-06-17 00:00:00+00:00,978.9511719,1274,1274,1206,1214,5903500
2013-06-18 00:00:00+00:00,975.8773193,1270,1282,1258,1266,4446000
2013-06-19 00:00:00+00:00,982.0250244,1278,1300,1264,1296,8577000
2013-06-20 00:00:00+00:00,954.3622437,1242,1276,1242,1256,9606500
2013-06-21 00:00:00+00:00,958.9725342,1248,1256,1206,1210,10697500
2013-06-24 00:00:00+00:00,946.6779175,1232,1272,1226,1262,6160500
2013-06-25 00:00:00+00:00,935.9204102,1218,1244,1202,1236,10024500
2013-06-26 00:00:00+00:00,955.8988647,1244,1266,1228,1244,9106000
2013-06-27 00:00:00+00:00,986.6352539,1284,1286,1262,1264,7587000
2013-06-28 00:00:00+00:00,1011.224365,1316,1326,1294,1300,10126500
2013-07-01 00:00:00+00:00,1014.298035,1320,1324,1290,1314,8004000
2013-07-02 00:00:00+00:00,1026.592651,1336,1348,1322,1346,7075500
2013-07-03 00:00:00+00:00,1029.666138,1340,1342,1324,1340,6508000
2013-07-04 00:00:00+00:00,1037.35022,1350,1350,1330,1332,3214500
2013-07-05 00:00:00+00:00,1060.4021,1380,1380,1354,1354,4931500
2013-07-08 00:00:00+00:00,1040.423706,1354,1408,1354,1400,6555500
2013-07-09 00:00:00+00:00,1065.012695,1386,1388,1360,1368,6010500
2013-07-10 00:00:00+00:00,1060.4021,1380,1392,1368,1388,4441500
2013-07-11 00:00:00+00:00,1057.328857,1376,1384,1360,1382,5751500
2013-07-12 00:00:00+00:00,1063.476074,1384,1398,1372,1372,8425500
2013-07-16 00:00:00+00:00,1074.233765,1398,1406,1392,1398,7684000
2013-07-17 00:00:00+00:00,1071.15979,1394,1400,1380,1384,5600500
2013-07-18 00:00:00+00:00,1086.528076,1414,1416,1392,1394,20311500
2013-07-19 00:00:00+00:00,1060.4021,1380,1420,1370,1416,9053000
2013-07-22 00:00:00+00:00,1058.865601,1378,1394,1362,1390,5573500
2013-07-23 00:00:00+00:00,1069.623291,1392,1396,1366,1370,4474000
2013-07-24 00:00:00+00:00,1063.476074,1384,1386,1366,1382,6885000
2013-07-25 00:00:00+00:00,1020.445374,1328,1392,1314,1382,17481000
2013-07-26 00:00:00+00:00,1017.371643,1324,1348,1322,1346,11251000
2013-07-29 00:00:00+00:00,954.3622437,1242,1278,1240,1264,11999500
2013-07-30 00:00:00+00:00,946.6779175,1232,1254,1228,1238,9735500
2013-07-31 00:00:00+00:00,940.5307617,1224,1232,1206,1222,8963000
2013-08-01 00:00:00+00:00,972.8037109,1266,1280,1246,1276,11968000
2013-08-02 00:00:00+00:00,1005.076904,1308,1310,1276,1300,7453000
2013-08-05 00:00:00+00:00,988.171936,1286,1294,1270,1294,5142000
2013-08-06 00:00:00+00:00,1003.540161,1306,1306,1270,1288,6811000
2013-08-07 00:00:00+00:00,962.0463867,1252,1284,1250,1272,8308500
2013-08-08 00:00:00+00:00,955.8988647,1244,1278,1240,1244,6153500
2013-08-09 00:00:00+00:00,957.4358521,1246,1260,1240,1244,7663500
2013-08-12 00:00:00+00:00,960.5095825,1250,1260,1234,1238,3928000
2013-08-13 00:00:00+00:00,978.9511719,1274,1276,1254,1266,4315500
2013-08-14 00:00:00+00:00,982.0250244,1278,1278,1256,1272,4651500
2013-08-15 00:00:00+00:00,958.9725342,1248,1272,1242,1258,5113500
2013-08-16 00:00:00+00:00,946.6779175,1232,1240,1224,1226,3878500
2013-08-19 00:00:00+00:00,948.2150269,1234,1236,1220,1230,3728000
2013-08-20 00:00:00+00:00,929.7731323,1210,1238,1210,1222,6797000
2013-08-21 00:00:00+00:00,922.0889893,1200,1216,1194,1210,7246000
2013-08-22 00:00:00+00:00,923.6259155,1202,1210,1192,1200,4941500
2013-08-23 00:00:00+00:00,934.383667,1216,1226,1210,1212,7984000
2013-08-26 00:00:00+00:00,923.6259155,1202,1224,1198,1218,4943000
2013-08-27 00:00:00+00:00,917.4785767,1194,1208,1190,1194,5463000
2013-08-28 00:00:00+00:00,903.6470947,1176,1180,1154,1160,7318000
2013-08-29 00:00:00+00:00,928.2363281,1208,1212,1176,1176,6808500
2013-08-30 00:00:00+00:00,911.3314209,1186,1226,1180,1220,7225000
2013-09-02 00:00:00+00:00,911.3314209,1186,1194,1176,1188,4197000
2013-09-03 00:00:00+00:00,945.1412964,1230,1230,1206,1214,5635000
2013-09-04 00:00:00+00:00,954.3622437,1242,1244,1212,1214,4602500
2013-09-05 00:00:00+00:00,954.3622437,1242,1260,1232,1260,4060500
2013-09-06 00:00:00+00:00,945.1412964,1230,1248,1228,1246,3809000
2013-09-09 00:00:00+00:00,931.3098755,1212,1252,1206,1252,8268500
2013-09-10 00:00:00+00:00,928.2363281,1208,1220,1204,1214,7302500
2013-09-11 00:00:00+00:00,903.6470947,1176,1198,1172,1196,11772500
2013-09-12 00:00:00+00:00,905.184021,1178,1182,1164,1166,8143000
2013-09-13 00:00:00+00:00,899.0367432,1170,1178,1156,1168,17166000
2013-09-17 00:00:00+00:00,900.5736694,1172,1184,1172,1176,9287500
2013-09-18 00:00:00+00:00,925.1625977,1204,1208,1192,1196,12619000
2013-09-19 00:00:00+00:00,943.6043091,1228,1228,1214,1224,8157500
2013-09-20 00:00:00+00:00,943.6043091,1228,1238,1222,1230,6416500
2013-09-24 00:00:00+00:00,942.067749,1226,1240,1222,1224,4279000
2013-09-25 00:00:00+00:00,943.6043091,1228,1230,1218,1230,5912000
2013-09-26 00:00:00+00:00,955.9998169,1234,1236,1206,1230,8676000
2013-09-27 00:00:00+00:00,952.9008789,1230,1238,1226,1232,5733500
2013-09-30 00:00:00+00:00,929.6592407,1200,1214,1190,1200,5774500
2013-10-01 00:00:00+00:00,926.5605469,1196,1208,1192,1202,6473000
2013-10-02 00:00:00+00:00,906.4180298,1170,1208,1162,1200,9901500
2013-10-03 00:00:00+00:00,883.1763916,1140,1174,1134,1168,12971000
2013-10-04 00:00:00+00:00,873.8798218,1128,1140,1126,1126,8349500
2013-10-07 00:00:00+00:00,855.2869263,1104,1140,1102,1128,7486000
2013-10-08 00:00:00+00:00,864.583252,1116,1122,1100,1100,5619500
2013-10-09 00:00:00+00:00,880.0777588,1136,1136,1104,1108,6194500
