Date,Adj Close,Close,High,Low,Open,Volume
2013-01-04 00:00:00+00:00,2459.719482,3975,3975,3915,3925,3060300
2013-01-07 00:00:00+00:00,2469.001221,3990,4000,3980,3995,1884300
2013-01-08 00:00:00+00:00,2478.283203,4005,4005,3980,4000,2810000
2013-01-09 00:00:00+00:00,2490.65918,4025,4045,3980,3995,3242500
2013-01-10 00:00:00+00:00,2561.820801,4140,4140,4060,4065,3269700
2013-01-11 00:00:00+00:00,2642.265137,4270,4280,4175,4180,5102400
2013-01-15 00:00:00+00:00,2710.332275,4380,4380,4300,4305,3641200
2013-01-16 00:00:00+00:00,2676.298828,4325,4415,4310,4395,3981100
2013-01-17 00:00:00+00:00,2719.614502,4395,4395,4330,4360,3937100
2013-01-18 00:00:00+00:00,2753.648438,4450,4475,4415,4420,3529100
2013-01-21 00:00:00+00:00,2744.366211,4435,4480,4425,4475,2187300
2013-01-22 00:00:00+00:00,2750.553955,4445,4470,4380,4445,3265100
2013-01-23 00:00:00+00:00,2701.050537,4365,4435,4365,4405,2780400
2013-01-24 00:00:00+00:00,2756.741943,4455,4455,4375,4380,3745300
2013-01-25 00:00:00+00:00,2815.528076,4550,4550,4485,4495,3709900
2013-01-28 00:00:00+00:00,2855.749512,4615,4725,4615,4635,4314100
2013-01-29 00:00:00+00:00,2865.031494,4630,4680,4600,4605,2256600
2013-01-30 00:00:00+00:00,2905.253418,4695,4695,4645,4680,2476300
2013-01-31 00:00:00+00:00,2908.346924,4700,4730,4670,4700,3152200
2013-02-01 00:00:00+00:00,2895.972168,4680,4720,4675,4700,2401900
2013-02-04 00:00:00+00:00,2892.877197,4675,4720,4670,4715,2647900
2013-02-05 00:00:00+00:00,2815.528076,4550,4660,4540,4620,3873900
2013-02-06 00:00:00+00:00,2917.629639,4715,4720,4610,4610,4033100
2013-02-07 00:00:00+00:00,2908.346924,4700,4735,4665,4720,3010200
2013-02-08 00:00:00+00:00,2861.937744,4625,4685,4610,4635,3462300
2013-02-12 00:00:00+00:00,2892.877197,4675,4700,4665,4670,2588500
2013-02-13 00:00:00+00:00,2892.877197,4675,4690,4630,4665,2926700
2013-02-14 00:00:00+00:00,2902.159424,4690,4705,4670,4700,2953000
2013-02-15 00:00:00+00:00,2883.595459,4660,4670,4620,4660,2486700
2013-02-18 00:00:00+00:00,2911.440918,4705,4710,4655,4655,2297800
2013-02-19 00:00:00+00:00,2914.535645,4710,4725,4700,4705,1841500
2013-02-20 00:00:00+00:00,2964.039063,4790,4790,4730,4735,2768100
2013-02-21 00:00:00+00:00,2954.757813,4775,4820,4750,4795,2374700
2013-02-22 00:00:00+00:00,2973.321777,4805,4815,4730,4745,3403000
2013-02-25 00:00:00+00:00,2979.508789,4815,4815,4730,4785,3481500
2013-02-26 00:00:00+00:00,2948.569824,4765,4815,4750,4760,3015300
2013-02-27 00:00:00+00:00,2908.346924,4700,4785,4700,4765,2271000
2013-02-28 00:00:00+00:00,2967.132813,4795,4795,4720,4720,2396800
2013-03-01 00:00:00+00:00,3025.919189,4890,4900,4750,4750,3220500
2013-03-04 00:00:00+00:00,3053.764893,4935,4955,4880,4895,1977200
2013-03-05 00:00:00+00:00,3044.483398,4920,4950,4905,4945,1784300
2013-03-06 00:00:00+00:00,3059.952393,4945,4970,4925,4950,1895900
2013-03-07 00:00:00+00:00,3093.986084,5000,5000,4945,4965,3712000
2013-03-08 00:00:00+00:00,3143.490723,5080,5090,5010,5010,7516900
2013-03-11 00:00:00+00:00,3180.618408,5140,5170,5100,5170,2929800
2013-03-12 00:00:00+00:00,3174.430908,5130,5170,5120,5150,2943900
2013-03-13 00:00:00+00:00,3131.114502,5060,5140,5060,5120,2092400
2013-03-14 00:00:00+00:00,3186.806641,5150,5170,5090,5120,2357800
2013-03-15 00:00:00+00:00,3248.686035,5250,5250,5150,5150,5792100
2013-03-18 00:00:00+00:00,3174.430908,5130,5220,5130,5210,3251400
2013-03-19 00:00:00+00:00,3211.558105,5190,5220,5170,5180,1661400
2013-03-21 00:00:00+00:00,3267.249756,5280,5280,5200,5230,2715300
2013-03-22 00:00:00+00:00,3211.558105,5190,5260,5190,5240,2920400
2013-03-25 00:00:00+00:00,3248.686035,5250,5280,5220,5230,2595500
2013-03-26 00:00:00+00:00,3248.686035,5250,5310,5250,5260,4366500
2013-03-27 00:00:00+00:00,3267.57373,5190,5220,5170,5200,2142300
